iter	Passed	Remaining
533	8260	7208
534	8293	7208
535	8322	7204
536	8344	7194
537	8368	7185
538	8382	7169
539	8396	7152
540	8410	7135
541	8425	7119
542	8439	7102
543	8453	7086
544	8469	7070
545	8483	7053
546	8497	7036
547	8511	7020
548	8525	7003
549	8539	6986
550	8553	6970
551	8567	6953
552	8586	6940
553	8601	6924
554	8616	6908
555	8630	6892
556	8644	6875
557	8659	6859
558	8673	6842
559	8687	6826
560	8701	6809
561	8716	6792
562	8730	6776
563	8744	6759
564	8759	6744
565	8773	6727
566	8787	6710
567	8801	6694
568	8815	6677
569	8829	6660
570	8843	6644
571	8858	6628
572	8872	6611
573	8886	6595
574	8900	6578
575	8915	6562
576	8930	6547
577	8945	6531
578	8959	6514
579	8975	6499
580	8990	6483
581	9004	6466
582	9018	6450
583	9032	6433
584	9046	6417
585	9060	6401
586	9074	6384
587	9088	6368
588	9102	6351
589	9116	6335
590	9131	6319
591	9145	6303
592	9159	6286
593	9173	6270
594	9188	6254
595	9202	6237
596	9221	6225
597	9235	6208
598	9249	6192
599	9264	6176
600	9278	6160
601	9292	6143
602	9306	6127
603	9321	6111
604	9335	6094
605	9354	6082
606	9374	6069
607	9397	6058
608	9411	6042
609	9425	6026
610	9440	6010
611	9454	5993
612	9468	5977
613	9484	5962
614	9498	5946
615	9513	5930
616	9527	5914
617	9541	5897
618	9568	5889
619	9597	5882
620	9624	5874
621	9652	5865
622	9675	5854
623	9696	5843
624	9719	5831
625	9734	5815
626	9748	5799
627	9762	5783
628	9777	5766
629	9791	5750
630	9805	5734
631	9819	5717
632	9833	5701
633	9847	5685
634	9862	5668
635	9876	5652
636	9890	5635
637	9904	5619
638	9918	5603
639	9932	5587
640	9948	5571
641	9962	5555
642	9976	5539
643	9992	5523
644	10006	5507
645	10020	5491
646	10035	5475
647	10049	5458
648	10063	5442
649	10077	5426
650	10091	5409
651	10105	5393
652	10120	5377
653	10134	5361
654	10148	5345
655	10162	5329
656	10176	5312
657	10190	5296
658	10204	5280
659	10218	5264
660	10233	5248
661	10247	5232
662	10261	5215
663	10275	5199
664	10289	5183
665	10303	5167
666	10317	5151
667	10332	5135
668	10347	5119
669	10362	5103
670	10376	5087
671	10390	5071
672	10404	5055
673	10419	5039
674	10433	5023
675	10448	5008
676	10463	4992
677	10477	4976
678	10492	4960
679	10506	4944
680	10520	4927
681	10534	4911
682	10548	4895
683	10562	4879
684	10576	4863
685	10597	4850
686	10611	4834
687	10625	4818
688	10639	4802
689	10653	4786
690	10667	4770
691	10681	4754
692	10694	4737
693	10708	4721
694	10722	4705
695	10737	4689
696	10751	4673
697	10765	4657
698	10779	4641
699	10794	4626
700	10808	4610
701	10823	4594
702	10837	4578
703	10851	4562
704	10865	4546
705	10879	4530
706	10893	4514
707	10907	4498
708	10922	4482
709	10936	4466
710	10951	4451
711	10965	4435
712	10980	4419
713	10996	4404
714	11011	4389
715	11025	4373
716	11039	4357
717	11053	4341
718	11067	4325
719	11081	4309
720	11095	4293
721	11109	4277
722	11123	4261
723	11137	4245
724	11151	4229
725	11165	4213
726	11179	4197
727	11193	4182
728	11207	4166
729	11221	4150
730	11235	4134
731	11250	4118
732	11264	4103
733	11278	4087
734	11292	4071
735	11307	4055
736	11321	4039
737	11336	4024
738	11350	4008
739	11364	3993
740	11382	3978
741	11411	3968
742	11426	3952
743	11440	3936
744	11455	3920
745	11469	3905
746	11484	3889
747	11498	3873
748	11512	3858
749	11527	3842
750	11541	3826
751	11555	3810
752	11569	3795
753	11584	3779
754	11603	3765
755	11617	3749
756	11631	3733
757	11645	3717
758	11659	3702
759	11673	3686
760	11687	3670
761	11701	3654
762	11715	3639
763	11729	3623
764	11744	3607
765	11758	3591
766	11772	3576
767	11786	3560
768	11800	3544
769	11814	3528
770	11828	3513
771	11842	3497
772	11856	3481
773	11872	3466
774	11900	3455
775	11924	3442
776	11959	3432
